,filename,label,pose,truncated,occluded,difficult,xmin,ymin,xmax,ymax,width,height,depth,segmented,crop_width,crop_height,xmin_normal,xmax_normal,ymin_normal,ymax_normal,crop_img_filename
0,maksssksksss299.png,without_mask,Unspecified,0,0,0,62,194,160,320,301,400,3,0,98,126,0.2059800664451827,0.53156146179402,0.485,0.8,crop0.png
1,maksssksksss528.png,without_mask,Unspecified,0,0,0,43,169,149,308,301,400,3,0,106,139,0.14285714285714285,0.4950166112956811,0.4225,0.77,crop1.png
2,maksssksksss514.png,without_mask,Unspecified,0,0,0,237,41,248,58,400,267,3,0,11,17,0.5925,0.62,0.15355805243445692,0.21722846441947566,crop2.png
3,maksssksksss716.png,without_mask,Unspecified,0,0,0,101,174,209,299,301,400,3,0,108,125,0.33554817275747506,0.6943521594684385,0.435,0.7475,crop3.png
4,maksssksksss702.png,with_mask,Unspecified,0,0,0,379,63,408,98,600,317,3,0,29,35,0.6316666666666667,0.68,0.19873817034700317,0.30914826498422715,crop4.png
5,maksssksksss702.png,with_mask,Unspecified,0,0,0,433,61,471,105,600,317,3,0,38,44,0.7216666666666667,0.785,0.19242902208201892,0.3312302839116719,crop5.png
6,maksssksksss702.png,without_mask,Unspecified,0,0,0,221,57,248,81,600,317,3,0,27,24,0.36833333333333335,0.41333333333333333,0.17981072555205047,0.2555205047318612,crop6.png
7,maksssksksss138.png,with_mask,Unspecified,0,0,0,224,92,309,186,400,267,3,0,85,94,0.56,0.7725,0.3445692883895131,0.6966292134831461,crop7.png
8,maksssksksss662.png,with_mask,Unspecified,0,0,0,96,47,110,62,400,261,3,0,14,15,0.24,0.275,0.18007662835249041,0.23754789272030652,crop8.png
9,maksssksksss104.png,without_mask,Unspecified,0,0,0,42,109,66,140,400,267,3,0,24,31,0.105,0.165,0.40823970037453183,0.5243445692883895,crop9.png
10,maksssksksss104.png,without_mask,Unspecified,0,0,0,2,105,22,125,400,267,3,0,20,20,0.005,0.055,0.39325842696629215,0.4681647940074906,crop10.png
11,maksssksksss104.png,without_mask,Unspecified,0,0,0,30,88,46,105,400,267,3,0,16,17,0.075,0.115,0.3295880149812734,0.39325842696629215,crop11.png
12,maksssksksss104.png,without_mask,Unspecified,0,0,0,304,131,331,158,400,267,3,0,27,27,0.76,0.8275,0.49063670411985016,0.5917602996254682,crop12.png
13,maksssksksss104.png,without_mask,Unspecified,0,0,0,83,85,96,96,400,267,3,0,13,11,0.2075,0.24,0.31835205992509363,0.3595505617977528,crop13.png
14,maksssksksss104.png,without_mask,Unspecified,0,0,0,167,91,180,108,400,267,3,0,13,17,0.4175,0.45,0.3408239700374532,0.4044943820224719,crop14.png
15,maksssksksss110.png,without_mask,Unspecified,0,0,0,6,111,43,148,400,267,3,0,37,37,0.015,0.1075,0.4157303370786517,0.5543071161048689,crop15.png
16,maksssksksss110.png,without_mask,Unspecified,0,0,0,22,20,49,46,400,267,3,0,27,26,0.055,0.1225,0.0749063670411985,0.17228464419475656,crop16.png
17,maksssksksss110.png,without_mask,Unspecified,0,0,0,78,17,106,46,400,267,3,0,28,29,0.195,0.265,0.06367041198501873,0.17228464419475656,crop17.png
18,maksssksksss110.png,without_mask,Unspecified,0,0,0,97,66,115,86,400,267,3,0,18,20,0.2425,0.2875,0.24719101123595505,0.32209737827715357,crop18.png
19,maksssksksss110.png,without_mask,Unspecified,0,0,0,70,111,104,145,400,267,3,0,34,34,0.175,0.26,0.4157303370786517,0.5430711610486891,crop19.png
20,maksssksksss110.png,without_mask,Unspecified,0,0,0,42,157,85,186,400,267,3,0,43,29,0.105,0.2125,0.5880149812734082,0.6966292134831461,crop20.png
21,maksssksksss110.png,without_mask,Unspecified,0,0,0,116,155,172,198,400,267,3,0,56,43,0.29,0.43,0.5805243445692884,0.7415730337078652,crop21.png
